Variable,Importance
Componente_Principal_1140,0.012423772
seg_fluvial_Incautaciones_ClorhidratoCocaina,0.011284093
Componente_Principal_1367,0.009950064
salud_PorcNacVivosMadres1826,0.0092634065
Educacion_Cobertura_Neta_Transición.10,0.007929786
Educacion_Deserción_Transición.9,0.006799982
Educacion_Repitencia_Transición.6,0.0066627767
Componente_Principal_696,0.0066606626
Lotes_Cat_Tipo_uso_2,0.0064138356
OT_Avaluo_catastral_urbano,0.0063074036
Componente_Principal_459,0.0062507275
seg_fluvial_Incautaciones_ArmasCortoAlcance,0.005817719
Economia_Rendimiento_Pina,0.0057318574
Finanzas_%ingresos_recursos_propios,0.005411789
Educacion_Cobertura_Neta.3,0.005243917
Componente_Principal_1361,0.0051745414
Censo_porc_pob_hombres_45_49,0.005120976
Componente_Principal_339,0.0051182494
OT_Porcentaje_avaluo_catastral_rural,0.0051130042
Economia_Rendimiento_Arroz,0.0050563146
Componente_Principal_402,0.0050292276
salud_TasaMortTumorMalignoCuelloUtero,0.0050283624
seg_fluvial_Incautaciones_MunicionMenor,0.004937078
Educacion_Repitencia_Transición.9,0.0049147117
Economia_Rendimiento_Yuca,0.004597867
Educacion_Repitencia_Transición.1,0.0045334366
Componente_Principal_1253,0.004511766
Desempeno_Salud,0.004402278
Mercado_Laboral_participacion_trabajadores_cotizantes_hombres,0.004392729
Finanzas_%ingresos_funcionamiento,0.0043284236
Economia_Rendimiento_Palma_aceite,0.0042656115
Componente_Principal_422,0.004258693
Educacion_Repitencia_Transición.2,0.004245633
Pobreza_Cabeceras_,0.004224446
OT_Porcentaje_avaluo_catastral_urbano,0.0042110193
Desempeno_Promedio_seguridad_grupo_DI,0.004153442
Componente_Principal_706,0.0041471566
Justicia_resultados_conciliacion_resueltas_entre_2_3_meses,0.0041299667
Censo_porc_pob_hombres_05_09,0.0040915757
OT_Recaudo_efectivo_predial,0.0040778033
Probreza_Barreras de acceso a servicios de salud_,0.003897719
Componente_Principal_734,0.0038054544
Componente_Principal_1374,0.003722101
Educacion_Repitencia_Media.10,0.0037029665
Lotes_Cat_Tipo_uso_42,0.0036384014
Economia_explot_minas_cant,0.0036355576
Economia_Rendimiento_Coco,0.003618897
Componente_Principal_420,0.0035904583
Componente_Principal_599,0.0035406312
Componente_Principal_1372,0.0035330479
Probreza_Inadecuada eliminación de excretas_,0.0034656771
Componente_Principal_763,0.0034528149
seguridad_TasaExtorsion,0.0034361188
Finanzas_alimentacion_escolar,0.0034305102
Educacion_puntaje_promedio_saber_lectura,0.0034210726
Economia_Ton_prod_otros_cultivos_transitorios,0.003403121
Componente_Principal_429,0.0033639753
Economia_Rendimiento_Name,0.0033471305
Componente_Principal_451,0.0033084475
Lotes_Cat_Habitacion_3,0.003235997
Educacion_Repitencia.1,0.0031901444
Seguridad_T_homicidios_en_accidente_de_transito_,0.0031737243
Ambiente_inversion_reduccion,0.0031594592
Finanzas_num_proyectos_contratados,0.0031521567
Componente_Principal_1348,0.0031319307
Componente_Principal_1317,0.0031303924
Componente_Principal_1371,0.003127811
Educacion_Cobertura_Bruta_Transición.9,0.0031271137
Componente_Principal_1364,0.0030848782
Educacion_Tamaño_Promedio_De_Grupo.1,0.0030744895
salud_AfilRegEspeciales,0.0030608994
Componente_Principal_701,0.0030238042
Ambiente_incendios_forestales,0.0029747079
Educacion_Repitencia_Transición.7,0.0029705977
Censo_porc_pob_mujeres_70_74,0.0029674692
Educacion_Tamaño_Promedio_De_Grupo.5,0.0029365811
Finanzas_regalias_per_capita,0.0029241103
Componente_Principal_710,0.0028909708
Justicia_acuerdo_derecho_civil_comercial,0.0028616595
Componente_Principal_765,0.0028607966
Componente_Principal_695,0.002850235
Educacion_Sedes_Conectadas_A_Internet.5,0.0028254155
Componente_Principal_518,0.002797755
Finanzas_componente_sin_medidas_SMSCE,0.002785961
Educacion_Repitencia_Media,0.0027829527
Mercado_Laboral_participacion_trabajadores_cotizantes_51_59_anos,0.0027643393
Educacion_Cobertura_Bruta_Transición.3,0.002747569
Componente_Principal_717,0.0027414109
Educacion_Aprobación_Media,0.0027409755
Educacion_Aprobación_Media.10,0.0027327784
Educacion_Cobertura_Neta_Transición,0.0027178477
Finanzas_deficit_ahorro_corriente,0.0027068106
Economia_3er_cultivo_transitorio_ton_prod,0.0026972117
Agricultura_Cafe,0.0026856048
Lotes_Cat_Locales_1_y,0.0026681346
Educacion_Deserción_Media.7,0.0026406408
Finanzas_transferencias_nacionales_per_capita_SGP,0.0026347598
Desempeno_Posicion_nacional_resultados,0.0026179212
Lotes_Cat_Area_1_y,0.0026067938
Componente_Principal_392,0.0026044387
Componente_Principal_367,0.0025874483
Desempeno_Ejecucion_recursos,0.0025816625
salud_TasaMortAccTranspTerrestreMujeres,0.0025335578
Educacion_Deserción_Media.4,0.0025218802
Educacion_Cobertura_Bruta_Transición.2,0.0025191882
Componente_Principal_349,0.00251321
Mercado_Laboral_trabajadores_cotizantes_60_anos_mas,0.0025035795
Componente_Principal_600,0.0025015124
Economia_Rendimiento_Guayaba,0.0024877207
Lotes_Cat_Area_3_y,0.002476044
Mercado_Laboral_participacion_trabajadores_cotizantes_mujeres,0.002466443
Educacion_Repitencia_Transición.4,0.0024492575
Finanzas_total_recursos_asignados_per_capita_SGP,0.0024360241
Finanzas_total_asignaciones_SGR_2013_2014,0.002428135
Lotes_Cat_Locales_2_y,0.0023919705
Economia_2do_cultivo_transitorio_ton_prod,0.0023840975
Seguridad_Lensiones_accidente_Transito_,0.0023737147
Educacion_Cobertura_Neta_Secundaria.3,0.002366587
Educacion_Cobertura_Bruta_Primaria.2,0.002364377
Componente_Principal_1370,0.0023595528
Lotes_Cat_Area_3_x,0.0023569013
Justicia_inasistencia_derecho_penal,0.0023518084
Componente_Principal_707,0.002319833
Educacion_Aprobación_Transición.1,0.002318996
Educacion_Deserción_Media.1,0.0023128504
Justicia_acuerdo_todas_ramas_derecho,0.0023123887
salud_IncidTuberculosis,0.0023101752
Componente_Principal_495,0.002309115
Agricultura_Frijol,0.0023016257
Componente_Principal_1315,0.0022986296
Educacion_Sedes_Conectadas_A_Internet,0.0022827543
Educacion_Reprobación_Transición,0.0022826355
Componente_Principal_1320,0.0022775063
Componente_Principal_1137,0.002262871
Componente_Principal_384,0.0022496309
Educacion_Cobertura_Neta_Transición.1,0.002231928
Componente_Principal_692,0.0022085882
Lotes_Cat_Tipo_uso_40,0.0022077106
Fiscal_Generación_Recursos_,0.0021974167
Justicia_otros_todas_ramas_derecho,0.0021932959
Probreza_Rezago escolar_,0.0021889205
Educacion_Cobertura_Bruta_Primaria.1,0.002182666
Educacion_Repitencia_Transición,0.0021789584
Lotes_Cat_Locales_3_y,0.0021670132
Economia_Suministro_eg_gas_agua,0.0021641734
Componente_Principal_438,0.0021499635
Fiscal_Magnitud_Iinversión_,0.0021480764
Lotes_Cat_Locales_2_x,0.0021462399
Componente_Principal_6,0.0021458645
Educacion_Repitencia_Transición.10,0.0021447367
Economia_PIB_dept_segundo_cultivo_permanente,0.0021245843
seg_fluvial_ArmasIncautadas,0.0021185796
Desempeno_Componente_resultados,0.0020843425
Censo_porc_pob_mujeres_20_24,0.0020843316
Educacion_Cobertura_Bruta_Transición.1,0.0020811306
Componente_Principal_261,0.0020719238
Censo_porc_pob_hombres_50_54,0.0020573037
Componente_Principal_464,0.0020455401
Probreza_Inasistencia escolar_,0.0020395978
Indice_internet_2020,0.0020364698
Componente_Principal_289,0.0020347398
Fiscal_Indicador_desempeño_Fiscal_,0.0020332367
salud_MujSumAnticoncep,0.0020317116
Censo_porc_pob_hombres_40_44,0.0020177735
Componente_Principal_385,0.0020161544
Educacion_cobertura_neta_media,0.00200394
salud_AfilSGSSS,0.0019925036
Educacion_Aprobación_Transición,0.0019914727
Ambiente_porcentaje_fortalecimiento,0.0019650883
vivienda_servicios_publicos_CoberturaAseoUrbanaREC,0.00195472
Mercado_Laboral_participacion_trabajadores_cotizantes_29_40_anos,0.0019536866
OT_Porcentaje_predios_urbanos,0.0019520655
salud_CobVacDPT,0.0019497289
Economia_Rendimiento_Cana_panelera,0.0019475635
Ambiente_total_acumulado_eventos,0.0019447244
Componente_Principal_815,0.0019412515
Componente_Principal_1095,0.001927508
Poblacion_PctMenores15,0.001922719
Probreza_Sin acceso a fuente de agua mejorada_,0.0019183996
Poblacion_PobUrbana,0.0019052643
Censo_porc_pob_mujeres_40_44,0.0019026356
Componente_Principal_1316,0.0019005548
salud_TasaMortalidadInfantil1Anio,0.0018981707
Industria_y,0.0018776192
Probreza_Sin aseguramiento en salud_,0.0018769776
salud_CobVacPentavalente,0.0018738661
Componente_Principal_457,0.0018594317
Componente_Principal_1134,0.00185771
Componente_Principal_478,0.001851664
Ambiente_porcentaje_eventos_movimientos,0.0018443266
Componente_Principal_537,0.0018401088
Finanzas_%inversion_recursos_propios,0.0018344022
Educacion_Cobertura_Neta_Transición.4,0.0018313251
Componente_Principal_1338,0.0018258544
Componente_Principal_703,0.001819599
Componente_Principal_479,0.0018066348
salud_TasaFecundidad1519,0.0017994042
Finanzas_%gasto_total_inversion,0.0017988045
Componente_Principal_1241,0.001794339
Componente_Principal_421,0.0017929167
Componente_Principal_492,0.001790474
Ambiente_area_deforestada,0.0017900986
Poblacion_PorcMujeres35-39,0.0017853507
Lotes_Mean_Area,0.0017822677
Seguridad_hurto_a_residencias_,0.0017777408
Probreza_Bajo logro educativo_,0.0017751429
Finanzas_recursos_balance_variacion_depositos,0.0017723029
Educacion_Reprobación_Media.3,0.0017681377
Componente_Principal_426,0.0017670436
Componente_Principal_1368,0.0017631953
Ambiente_inversion_fortalecimiento,0.0017600833
Finanzas_total_SGP,0.0017523058
Economia_Primer_Cultivo_permanente,0.0017509192
Economia_Rendimiento_Tomate,0.0017476256
seguridad_TasaHurtoPersonas,0.0017450623
Economia_2do_cultivo_permanente_ton_prod,0.0017204559
Ambiente_manejo_desastres,0.0017199831
Seguridad_Hurto_Motocicleta_,0.001719609
Componente_Principal_498,0.001707278
Lotes_Cat_Area_2_y,0.0017061606
Ambiente_porcentaje_manejo,0.0017042503
Educacion_Cobertura_Bruta_Secundaria.1,0.0017014393
salud_IncidVIH,0.0017009625
Economia_ind_manufacturera,0.0016890728
Seguridad_hurto_a_comercio_,0.0016879368
