Variable,Importance_Selectkbest,Importance_ElasticNet,Importance_XGBoost,Importance_RandomForest,Suma_Importances,Total_imp
IPS_Nivel_2,0.0007463423810102828,0.0025514461094031595,0.004885237,0.0,0.008183025688736453,0.002045756385430079
IPS_Departamental,0.00011331909730257708,0.0010225298580019207,0.0018377927,0.0,0.002973641645216519,0.0007434103979480276
IPS_Indigena,0.0057864096722866736,0.0009220024134028341,0.008120925,0.00028291345924382204,0.015112250710646164,0.0037780626097849144
IPS_Mixta,0.0001879142686808017,0.0016935936756014242,0.0,5.7336838583898124e-05,0.001938844782866124,0.00048471118700821574
Agricultura_Acelga,0.0,0.0,0.0,0.0,0.0,0.0
Agricultura_Achicoria,0.0,0.0,0.0,0.0,0.0,0.0
Agricultura_Achiote,0.0,0.0,0.0,0.0,0.0,0.0
Agricultura_Achira,0.0,0.0,0.0,0.0,0.0,0.0
Agricultura_Agraz,0.0,0.0,0.0,0.0,0.0,0.0
Agricultura_Agraz - Mortiño,0.0,0.0,0.0,0.0,0.0,0.0
Agricultura_Aguacate,0.0005936214100538918,0.0004501576944380873,0.001790046,0.0005789184064006674,0.003412743504295247,0.0008531858607454849
Agricultura_Aguaje,0.0,0.0,0.0,0.0,0.0,0.0
Agricultura_Ahuyama,0.0,0.0,0.0,0.0,0.0,0.0
Agricultura_Aji,0.0,0.0,0.0,0.0,0.0,0.0
Agricultura_Ajo,0.0,0.0,0.0,0.0,0.0,0.0
Agricultura_Ajonjoli,0.0,0.0,0.0,0.0,0.0,0.0
Agricultura_Albahaca,0.0,0.0,0.0,0.0,0.0,0.0
Agricultura_Alcachofa,0.0,0.0,0.0,0.0,0.0,0.0
Agricultura_Alfalfa,0.0,0.0,0.0,0.0,0.0,0.0
Agricultura_Algarrobo,0.0,0.0,0.0,0.0,0.0,0.0
Agricultura_Algodon,0.0,0.0,0.0,0.0,0.0,0.0
Agricultura_Amaranto,0.0,0.0,0.0,0.0,0.0,0.0
Agricultura_Anis,0.0,0.0,0.0,0.0,0.0,0.0
Agricultura_Anon,0.0,0.0,0.0,0.0,0.0,0.0
Agricultura_Anturio,0.0,0.0,0.0,0.0,0.0,0.0
Agricultura_Apio,0.0,0.0,0.0,0.0,0.0,0.0
