Variable,Importance_Selectkbest,Importance_ElasticNet,Importance_XGBoost,Importance_RandomForest,Suma_Importances,Total_imp
Crecimiento_anterior_0,0.17840773098875795,,0.05663062,0.6118168274927759,0.8468551773517922,0.28228505832719947
Crecimiento_anterior_1,0.11946845379389505,,0.007340301,0.019469756236318275,0.14627851085843177,0.04875950348300826
Crecimiento_anterior_2,0.07623947383013915,,0.0019778328,0.00502637870231457,0.08324368528752762,0.027747895018181222
Crecimiento_anterior_3,0.045328967952228655,,0.0017113909,0.003501200333314037,0.0505415591980755,0.016847186352206285
Ambiente_area_amenazada,1.0634447397784072e-07,,0.00086836703,0.0004750849368682203,0.0013435583125588194,0.00044785276959948125
Ambiente_area_deforestada,0.0001727146110398496,,0.0014655682,0.0017055591413512438,0.0033438419549388226,0.0011146139818600054
Ambiente_area_ecosistemas,4.07678447142985e-06,,0.00047924422,0.0005841136056883522,0.0010674346097646616,0.00035581153559236867
Ambiente_fortalecimiento_institucional,0.004631231649348459,,0.0005458071,0.0010548811617293152,0.0062319199356589625,0.00207730663940565
Ambiente_indice_riesgo_ajustado,0.004457775832860016,,0.0004554538,0.0011086763498597304,0.006021905970882887,0.002007301984676222
Ambiente_indice_riesgo_integral,0.004040885910163877,,0.005412733,0.0025337411685504964,0.01198736026102543,0.003995786742491662
Ambiente_indice_vulnerabilidad,0.00041349484801887434,,0.0024169087,0.0009412820669530289,0.0037716856559692176,0.0012572285484709848
Ambiente_inversion_adaptacion,0.0029762534191801453,,0.0010567943,0.0013107396525887766,0.00534378738175754,0.0017812624556004166
Ambiente_inversion_adaptacion_climatico,0.003088230085693458,,0.0012748317,0.0011010316451835589,0.005464093440328991,0.0018213644750119952
Ambiente_inversion_fortalecimiento,0.007217817409682011,,0.0027226314,0.0007776519383606894,0.010718100789471958,0.00357270025315798
Ambiente_inversion_manejo,0.005286588158420539,,0.0010788122,0.001689445708995621,0.008054846040052549,0.002684948672502833
Ambiente_inversion_reduccion,0.002524177536331603,,0.0024666337,0.0013171080999475717,0.0063079193193497154,0.002102639767231665
Ambiente_manejo_desastres,0.0028008500726526037,,0.0015586318,0.0013623062789651767,0.0057217881265871785,0.001907262703524311
Ambiente_porcentaje_area_departamental_bosque,0.0002541018850519916,,0.000980978,0.0007229919461279544,0.00195807184792152,0.0006526906141470775
Ambiente_porcentaje_area_departamental_deforestada,2.9417281558592084e-05,,0.0015035062,0.0010000513804397768,0.0025329748716996685,0.0008443249548701106
Ambiente_porcentaje_area_departamental_humedales,5.911000570683847e-05,,0.0015138092,0.0007275191928074662,0.0023004383970279315,0.0007668127968631408
Ambiente_porcentaje_area_total_ecosistemas,0.000477054820145814,,0.0049255127,0.000924482859381693,0.006327050388251053,0.0021090167901809294
Ambiente_porcentaje_fortalecimiento,6.835129698950822e-05,,0.004617084,0.0018597816124254862,0.006545216727135407,0.0021817389029388447
Ambiente_porcentaje_manejo,0.00013600272788159249,,0.001310519,0.0008573623696868298,0.0023038840403417646,0.0007679613446312038
Ambiente_porcentaje_reduccion,0.0012713441200643,,0.0023325053,0.0015606527707160106,0.005164502195146661,0.0017215007268973858
Ambiente_reduccion_riesgo,0.0016433234634668898,,0.0007543705,0.0011723914275709678,0.0035700854197768033,0.001190028469928261
Ambiente_tasa_personas,0.0035735057158070554,,0.0011473768,0.001073554998451618,0.005794437553330186,0.001931479179037536
Ambiente_total_acumulado_eventos,0.001040326337016301,,0.00028757245,0.0002363262937510115,0.001564225076580879,0.0005214083574009657
Ambiente_vulnerabilidad_cambio_amenaza,8.098438566632514e-05,,0.006185081,0.0008986660002106257,0.007164731241961775,0.0023882437406363313
Ambiente_vulnerabilidad_cambio_capacidad,0.0005038701631070279,,0.0022857718,0.0015029996357076,0.004292641569217417,0.0014308805190676977
Censo_porc_pob_hombres_20_24,0.00019196721954399507,,0.0033998585,0.0013321881950682202,0.004924013898656886,0.0016413379616251552
Censo_porc_pob_hombres_25_29,0.0022185273810682135,,0.0021217635,0.0015750843734449508,0.005915375291219731,0.0019717917582212233
Censo_porc_pob_hombres_30_34,0.0011394054764848518,,0.0012801827,0.001005161414254562,0.0034247496304591627,0.0011415832069579701
Censo_porc_pob_hombres_35_39,0.000713360006805639,,0.0024519642,0.0012599061180262577,0.004425230313199025,0.0014750767669378698
Censo_porc_pob_hombres_40_44,3.8478469544616255e-07,,0.0028814995,0.001790355133601407,0.004672239391302386,0.0015574131260752122
Censo_porc_pob_hombres_45_49,9.606349200974143e-05,,0.0043821214,0.0011039992045751793,0.00558218407327817,0.0018607280192182167
Censo_porc_pob_mujeres_20_24,0.0016970324392379672,,0.0021218234,0.0012076182726829122,0.005026474086102866,0.0016754913573448925
