Columna,Estaticos,Desaceledaro,Esperanza Futura,Emergentes,Grandes Creciendo
IPS_Total_Efecto,No significativo,Positivo - Muy Alto,Negativo - Alto,No significativo,Positivo - Indeterminado
IPS_Departamental_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
IPS_Distrital_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
IPS_Indigena_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
IPS_Municipal_Efecto,Negativo - Medio,Positivo - Indeterminado,Negativo - Muy Alto,No significativo,Positivo - Indeterminado
IPS_Nacional_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
IPS_Mixta_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
IPS_Privada_Efecto,Negativo - Indeterminado,Positivo - Indeterminado,Negativo - Indeterminado,No significativo,Positivo - Indeterminado
IPS_Publica_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Agricultura_Acelga_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Achicoria_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Achiote_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Achira_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Agraz_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Agraz - Mortiño_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Aguacate_Efecto,No significativo,Negativo - Indeterminado,Positivo - Indeterminado,No significativo,Negativo - Indeterminado
Agricultura_Aguaje_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Ahuyama_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Aji_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Ajo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Ajonjoli_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Albahaca_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Alcachofa_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Alfalfa_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Algarrobo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Algodon_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Amaranto_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Anis_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Anon_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Anturio_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Apio_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Arandano_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Araza_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Arbol De Pan O Pepa Del Pan_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Arracacha_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Arroz_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Arveja_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Asai_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Asparragus_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Astromelia_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Avena_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Bacuri_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Badea_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Bananito_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Banano_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Batata_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Berenjena_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Bore_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Borojo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Brevo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Brocoli_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Cacao_Efecto,No significativo,No significativo,Positivo - Muy Alto,Positivo - Muy Alto,Negativo - Indeterminado
Agricultura_Caducifolios_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Cafe_Efecto,Positivo - Indeterminado,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Agricultura_Caimo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Calabacin_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
"Agricultura_Calabacin, Calabaza_Efecto",No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Calabaza_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Calendula_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Canyarana_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Cardamomo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Caucho_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Caña_Efecto,No significativo,Negativo - Indeterminado,Positivo - Indeterminado,No significativo,Negativo - Indeterminado
Agricultura_Caña Azucarera_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Caña Flecha_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Caña Miel_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Caña Panelera_Efecto,No significativo,No significativo,No significativo,No significativo,Positivo - Indeterminado
Agricultura_Cebada_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Cebolla De Bulbo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Cebolla De Rama_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
